value_decimal,initial_num_gates,lowest_gates,delta_gates
10382,13,14,-1
10429,15,10,5
10393,12,9,3
10431,11,11,0
10414,12,11,1
10409,13,13,0
10394,16,13,3
10421,14,12,2
10432,11,8,3
10399,17,14,3
10391,17,12,5
10390,17,12,5
10435,13,9,4
10493,9,10,-1
10436,13,13,0
10460,9,9,0
10477,12,10,2
10440,12,8,4
10434,14,11,3
10398,17,13,4
10453,10,10,0
10474,9,9,0
10478,9,9,0
10455,11,10,1
10461,10,9,1
10456,13,10,3
10441,14,12,2
10446,13,11,2
10447,12,11,1
10494,11,11,0
10475,11,8,3
10479,10,9,1
10517,12,10,2
10438,12,12,0
10665,12,11,1
10641,14,14,0
10664,13,13,0
10683,12,11,1
10454,18,13,5
10618,14,13,1
10583,16,16,0
10667,11,10,1
10649,12,9,3
10644,17,16,1
10566,22,14,8
10684,17,15,2
10663,15,13,2
10681,12,10,2
10437,17,15,2
10701,12,12,0
10626,16,13,3
10693,14,14,0
10562,16,15,1
10648,15,13,2
10687,15,14,1
10655,18,14,4
10691,13,12,1
10688,13,12,1
10713,14,11,3
10686,18,14,4
10696,17,16,1
10712,17,17,0
10733,12,12,0
10710,15,13,2
10646,18,15,3
10714,15,13,2
10920,12,8,4
10751,14,10,4
10827,13,13,0
10881,12,12,0
10749,11,10,1
10923,9,9,0
10731,17,15,2
10735,13,13,0
10908,14,12,2
10711,16,14,2
10921,16,13,3
10719,17,15,2
10929,12,10,2
10910,16,13,3
10647,19,18,1
10925,13,12,1
10884,16,14,2
10949,11,8,3
10887,14,14,0
10958,8,7,1
10750,17,17,0
10722,16,16,0
10968,14,11,3
10940,16,12,4
10746,15,15,0
10984,12,12,0
10983,13,11,2
10976,11,8,3
10970,10,9,1
10974,12,12,0
10964,12,11,1
10969,12,11,1
10967,13,12,1
10979,14,13,1
10987,10,10,0
11006,9,9,0
10989,13,12,1
11005,12,12,0
11004,11,9,2
10973,10,9,1
11208,16,13,3
11137,16,12,4
11069,14,14,0
11200,14,9,5
11112,15,14,1
11094,16,15,1
10985,17,13,4
11114,16,15,1
11157,16,16,0
11211,12,12,0
11181,14,13,1
11189,13,12,1
11197,14,14,0
11209,12,12,0
11156,16,13,3
11228,12,12,0
11229,15,12,3
11220,12,10,2
11213,16,13,3
11223,13,12,1
11221,11,10,1
11242,14,11,3
11199,12,10,2
11214,14,10,4
11246,13,9,4
11225,16,13,3
11241,15,15,0
11222,17,16,1
11210,16,13,3
11202,14,13,1
