value_decimal,initial_num_gates,lowest_gates,delta_gates
7931,15,15,0
8179,11,8,3
7915,17,14,3
8052,15,13,2
8177,10,8,2
8121,12,12,0
8184,12,12,0
8357,10,8,2
8182,13,13,0
8423,13,10,3
8183,14,12,2
8201,17,12,5
8324,13,10,3
8190,12,11,1
8323,9,9,0
8186,13,11,2
8185,14,12,2
8577,13,12,1
8187,14,14,0
8385,13,12,1
8803,10,9,1
8342,13,13,0
7911,18,17,1
8602,13,12,1
8858,11,11,0
8897,16,13,3
9210,10,9,1
8758,11,10,1
9381,12,10,2
9090,13,11,2
9138,12,11,1
9348,12,12,0
9154,12,11,1
9016,12,12,0
9225,19,16,3
8873,12,13,-1
9306,16,13,3
8980,14,13,1
9392,14,11,3
9455,12,12,0
9423,13,13,0
9419,15,14,1
9585,12,12,0
9442,14,12,2
9042,12,12,0
9394,15,15,0
9497,10,10,0
9421,16,12,4
9636,11,12,-1
9601,13,11,2
9491,12,11,1
9657,12,11,1
9374,16,15,1
9968,11,11,0
9918,14,14,0
10137,14,13,1
9922,14,11,3
9967,14,12,2
10193,12,12,0
10332,10,10,0
9611,13,13,0
9872,16,14,2
9686,16,15,1
9687,14,13,1
9666,15,13,2
10333,9,9,0
10368,11,9,2
10264,14,10,4
9939,16,14,2
10326,18,12,6
10378,13,9,4
10109,15,13,2
10131,12,11,1
10415,9,10,-1
10370,15,10,5
10371,14,11,3
10383,13,12,1
10369,19,15,4
10375,11,10,1
10393,12,9,3
9833,17,16,1
10431,11,11,0
10414,12,12,0
10396,13,11,2
10388,16,14,2
10372,15,15,0
10382,13,12,1
10411,9,9,0
10429,15,10,5
10432,11,8,3
10428,13,12,1
10409,13,13,0
10421,14,12,2
10394,16,15,1
10399,17,14,3
10435,13,9,4
10391,17,14,3
10436,13,13,0
10453,10,11,-1
10493,9,9,0
10474,9,9,0
10390,17,12,5
10477,12,10,2
10440,12,9,3
10460,9,9,0
10434,14,11,3
10478,9,9,0
10494,11,11,0
10455,11,10,1
10479,10,9,1
10456,13,10,3
10446,13,11,2
10461,10,9,1
10447,12,11,1
10475,11,10,1
10438,12,12,0
10398,17,13,4
10517,12,10,2
10441,14,12,2
10437,17,15,2
10641,14,13,1
10665,12,11,1
10454,18,13,5
10664,13,12,1
10667,11,10,1
10683,12,10,2
10618,14,13,1
10562,16,15,1
10583,16,16,0
10626,16,13,3
10649,12,9,3
10693,14,14,0
10663,15,13,2
10684,17,15,2
10701,12,10,2
10681,12,9,3
10688,13,12,1
10644,17,17,0
10691,13,12,1
10687,15,14,1
10648,15,13,2
10710,15,14,1
10686,18,14,4
10713,14,12,2
10696,17,16,1
10566,22,14,8
10712,17,17,0
10647,19,17,2
10751,14,11,3
10655,18,14,4
10733,12,12,0
10646,18,15,3
10827,13,13,0
10881,12,12,0
10731,17,15,2
10711,16,15,1
10920,12,8,4
10735,13,13,0
10749,11,10,1
10719,17,16,1
10923,9,9,0
10884,16,14,2
10908,14,12,2
10746,15,15,0
10887,14,14,0
10714,15,14,1
10949,11,8,3
10925,13,12,1
10910,16,13,3
10929,12,10,2
10958,8,7,1
10964,12,10,2
10750,17,17,0
10921,16,13,3
10968,14,11,3
10973,10,9,1
10940,16,12,4
10976,11,8,3
10974,12,12,0
10984,12,12,0
10979,14,13,1
10987,10,10,0
10970,10,9,1
10983,13,13,0
11006,9,9,0
10967,13,12,1
10969,12,11,1
11004,11,11,0
10989,13,14,-1
11005,12,12,0
10722,16,14,2
10985,17,13,4
11200,14,9,5
11069,14,12,2
11094,16,15,1
11208,16,13,3
11209,12,13,-1
11157,16,14,2
11112,15,14,1
11181,14,15,-1
11211,12,12,0
11214,14,11,3
11137,16,12,4
11156,16,16,0
11221,11,11,0
11114,16,15,1
11199,12,12,0
11220,12,10,2
11228,12,12,0
11225,16,13,3
11197,14,14,0
11210,16,13,3
11189,13,12,1
11223,13,12,1
11213,16,13,3
11229,15,12,3
11246,13,9,4
11242,14,11,3
11202,14,14,0
11262,12,12,0
11222,17,16,1
11241,15,15,0
11336,13,11,2
11463,14,14,0
11496,12,12,0
11487,12,12,0
11508,11,12,-1
11485,13,9,4
11477,12,11,1
11503,11,10,1
11484,10,10,0
11470,12,10,2
11471,12,10,2
11460,16,15,1
11464,11,11,0
11458,13,10,3
11495,13,13,0
11469,17,14,3
11494,13,12,1
11505,13,12,1
11498,12,12,0
11459,14,13,1
11466,13,10,3
11509,14,11,3
11514,13,11,2
11457,17,17,0
11657,13,12,1
11617,15,10,5
11465,17,17,0
11499,15,13,2
11675,15,14,1
11677,13,15,-2
11744,11,10,1
11741,8,7,1
11729,14,13,1
11730,13,10,3
11732,17,16,1
11728,13,11,2
11618,18,18,0
11736,15,13,2
11733,12,12,0
11706,16,14,2
11757,11,10,1
11756,12,12,0
11765,8,8,0
11761,12,11,1
11746,15,13,2
11747,14,14,0
11764,13,11,2
11742,16,14,2
11763,13,12,1
11737,17,16,1
11769,14,12,2
11858,15,14,1
11767,15,12,3
11770,12,11,1
11751,16,15,1
